Employee Name,Employee Number,DOB,Sex,Date of Hire,Date of Termination,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score,Degree,Pay Grade,Communication-Before,Communication-After,Communication Traning,Leadership - Before,Leadership - After,Leadership Development,Mentoring Role,Engagement Score,IQ,Management
"Gold, Shenice  ",1408069539,1992/6/18,Female,11/11/2013,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.32,2.44,No,,,,Mentee,3.46 ,125,No
"Gonzalez, Cayo",1411071212,1969/9/29,Male,07/11/2011,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Headhunter,Exceeds,Associate,2,2.97,4.55,Yes,,,,Both Mentor and Mentee,4.07 ,141,No
"Gordon, David",1106026579,1979/5/21,Male,07/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,3.52 ,109,No
"Goyal, Roxana",1312063675,1974/10/9,Female,08/19/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Master,2,2.41,2.54,No,,,,Mentee,3.47 ,114,No
"Gross, Paula",1103024859,1983/5/21,Female,02/21/2011,2014/1/11,more money,Voluntarily Terminated,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,2.78 ,138,No
"Handschiegl, Joanne",1405067064,1977/3/23,Female,11/28/2011,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Bachelor,2,2.43,2.55,No,,,,Mentee,3.55 ,113,No
"Harrell, Ludwick",1406068241,1982/9/2,Male,05/14/2012,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Mentee,3.53 ,111,No
"Harrington, Christie ",1110029602,1952/8/18,Female,01/09/2012,2015/12/15,retiring,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Associate,2,2.55,2.68,No,,,,Mentee,2.74 ,117,No
"Harrison, Kara",1404066622,1974/5/2,Female,05/12/2014,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Employee Referral,Exceeds,Bachelor,2,2.91,3.84,Yes,,,,Mentee,3.94 ,121,No
"Heitzman, Anthony",1002017900,1984/1/4,Male,08/13/2012,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Social Media,Needs Improvement,Associate,2,1.88,1.87,No,,,,Mentee,3.02 ,126,No
"Ivey, Rose ",1408069882,1991/1/28,Female,08/19/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Associate,2,2.33,2.45,No,,,,Mentee,3.47 ,128,No
"Jackson, Maryellen",1201031438,1972/9/11,Female,11/05/2012,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Bachelor,2,2.44,2.56,No,,,,Mentee,3.51 ,95,No
"Jacobi, Hannah  ",1503072857,1966/3/22,Female,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Mentee,3.46 ,136,No
"Jhaveri, Sneha  ",1412071713,1964/4/13,Female,01/06/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Associate,2,2.46,2.58,No,,,,Mentee,3.45 ,99,No
"Johnson, George",1105025721,1959/8/19,Male,11/07/2011,2016/4/29,more money,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Employee Referral,Exceeds,Associate,2,3.02,3.84,No,,,,Both Mentor and Mentee,3.25 ,143,No
"Jung, Judy  ",1107027450,1986/4/17,Female,01/10/2011,2016/4/1,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Website,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,102,No
"Keatts, Kramer ",1301052462,1976/1/19,Male,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,3.46 ,131,No
"Kinsella, Kathleen  ",710007401,1973/12/8,Female,09/26/2011,2015/6/4,more money,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,125,No
"Kirill, Alexandra  ",903013071,1970/10/8,Female,09/26/2011,2012/1/9,more money,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Bachelor,2,2.46,2.59,No,,,,Mentee,2.76 ,116,No
"Knapp, Bradley  J",1304055683,1977/11/10,Male,02/17/2014,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.39,2.51,No,,,,Mentee,3.45 ,116,No
"Kretschmer, John",1311062610,1980/2/2,Male,01/10/2011,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Bachelor,2,2.43,2.55,No,,,,Mentee,3.59 ,122,No
"Langton, Enrico",1304055987,1986/12/9,Male,07/09/2012,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.37,2.49,No,,,,Mentee,3.52 ,108,No
"Leach, Dallas",1408069409,1979/1/17,Female,09/26/2011,2013/8/19,return to school,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.42,2.54,No,,,,Mentee,2.76 ,106,No
"LeBel, Jonathan  R",1107027575,1981/10/18,Male,02/21/2011,2011/8/4,attendance,Terminated for Cause,Production       ,Production Technician I,Kelley Spirea,Social Media,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,100,No
"Linares, Marilyn ",1206042315,1981/3/26,Female,07/05/2011,2011/9/26,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Job Fair,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,127,No
"Lydon, Allison",1101023353,1975/10/22,Female,02/16/2015,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,108,No
"Lynch, Lindsay",1001138521,1973/2/14,Female,11/07/2011,2015/11/14,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Employee Referral,Exceeds,Bachelor,2,2.95,3.75,No,,,,Both Mentor and Mentee,3.25 ,130,No
"MacLennan, Samuel",1201031032,1972/11/9,Male,09/24/2012,2012/9/26,hours,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Job Fair,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,117,No
"Mahoney, Lauren  ",1209049259,1986/7/7,Female,01/06/2014,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.35,2.47,No,,,,Mentee,3.45 ,97,No
"Mangal, Debbie",1308060754,1974/11/7,Female,11/11/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,3.46 ,97,No
"Maurice, Shana",1401064327,1977/11/22,Female,05/31/2011,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Employee Referral,Needs Improvement,Bachelor,2,1.93,1.92,No,,,,Mentee,3.07 ,128,No
"Mckenna, Sandy",909015167,1987/1/7,Female,01/07/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Bachelor,2,2.36,2.48,No,,,,Mentee,3.50 ,114,No
"Meads, Elizabeth",1409070245,1968/5/30,Female,04/02/2012,2015/11/11,career change,Voluntarily Terminated,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Associate,2,2.47,2.59,No,,,,Neither Mentor nor Mentee,2.73 ,118,No
"Medeiros, Jennifer",1109029256,1976/9/22,Female,03/30/2015,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Website,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,102,No
"Motlagh,  Dawn",1102024121,1984/7/7,Female,04/01/2013,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.37,2.49,No,,,,Mentee,3.49 ,94,No
"Ndzi, Colombui",1204033041,1989/5/2,Male,09/26/2011,2014/4/4,return to school,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Associate,2,2.37,2.49,No,,,,Mentee,2.76 ,102,No
"Ndzi, Horia",1204033041,1983/3/28,Male,04/01/2013,2016/5/25,more money,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Bachelor,2,2.38,2.50,No,,,,Mentee,2.69 ,109,No
"Newman, Richard ",1302053044,1977/4/8,Male,05/12/2014,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,3.44 ,127,No
"Ngodup, Shari ",1403066020,1967/6/3,Female,04/01/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Employee Referral,Exceeds,High School,2,2.96,4.53,Yes,,,,Both Mentor and Mentee,3.99 ,151,No
"Nguyen, Lei-Ming",1203032357,1984/7/7,Female,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.37,2.49,No,,,,Mentee,3.47 ,106,No
"O'hare, Lynn",1206044851,1980/9/30,Female,03/31/2014,2016/5/1,performance,Terminated for Cause,Production       ,Production Technician I,Kissy Sullivan,Website,PIP,Associate,2,1.38,1.24,No,,,,Neither Mentor nor Mentee,1.64 ,97,No
"Osturnka, Adeel",1404066949,1976/12/11,Male,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Employee Referral,Exceeds,Associate,2,2.90,4.44,Yes,,,,Both Mentor and Mentee,3.96 ,130,No
"Owad, Clinton",1103024335,1979/11/24,Male,02/17/2014,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Job Fair,Needs Improvement,Associate,2,1.88,1.86,No,,,,Mentee,2.95 ,91,No
"Panjwani, Nina",1109029531,1979/5/1,Female,02/07/2011,2014/1/12,career change,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.43,2.55,No,,,,Neither Mentor nor Mentee,2.79 ,142,No
"Pelech, Emil",1307060058,1988/3/17,Male,01/10/2011,2012/12/28,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Needs Improvement,Associate,2,1.89,1.87,No,,,,Neither Mentor nor Mentee,2.29 ,95,No
"Perry, Shakira",1109029186,1986/7/20,Female,05/16/2011,2015/10/25,medical issues,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,2.77 ,118,No
"Peterson, Kayla ",1307059944,1973/9/23,Female,04/26/2010,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.47,2.59,No,,,,Mentee,3.62 ,120,No
"Pham, Hong",1305057440,1988/3/6,Male,07/05/2011,2012/11/30,more money,Voluntarily Terminated,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Associate,2,2.38,2.50,No,,,,Mentee,2.77 ,104,No
"Pitt, Brad ",1001735072,1981/11/23,Male,11/05/2007,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.47,2.59,No,,,,Mentee,3.73 ,144,No
"Power, Morissa",1102024274,1984/10/15,Female,05/16/2011,2011/6/4,career change,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Social Media,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,97,No
"Punjabhi, Louis  ",1401064562,1961/6/19,Male,01/06/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Associate,2,2.48,2.60,No,,,,Mentee,3.45 ,122,No
"Purinton, Janine",1011022926,1970/9/22,Female,09/24/2012,2013/6/18,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.45,2.57,No,,,,Neither Mentor nor Mentee,2.41 ,95,No
"Rarrick, Quinn",1208048229,1984/12/31,Male,09/26/2011,2012/4/7,more money,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,2.76 ,142,No
"Rhoads, Thomas",1211050793,1982/7/22,Male,05/16/2011,2016/1/15,retiring,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,2.77 ,90,No
"Rivera, Haley  ",1405067642,1973/1/12,Female,11/28/2011,,N/A - still employed,Active,Production       ,Production Technician I,Webster Butler,Employee Referral,Exceeds,Bachelor,2,2.95,4.52,Yes,,,,Both Mentor and Mentee,4.05 ,130,No
"Robinson, Alain  ",1206038000,1974/1/7,Male,01/10/2011,2016/1/26,attendance,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Mentee,2.79 ,99,No
"Robinson, Cherly",1403065625,1985/1/7,Female,01/10/2011,2016/5/17,attendance,Terminated for Cause,Production       ,Production Technician I,Ketsia Liebig,Website,Needs Improvement,Associate,2,1.90,1.88,No,,,,Neither Mentor nor Mentee,2.29 ,113,No
"Robinson, Elias",1011022887,1985/1/28,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Employee Referral,Exceptional,Bachelor,2,3.36,5.00,Yes,,,,Both Mentor and Mentee,4.47 ,114,No
"Rose, Ashley  ",710007555,1974/12/5,Female,01/06/2014,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,3.45 ,116,No
"Rossetti, Bruno",1405067492,1987/3/18,Male,04/04/2011,2012/8/13,career change,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.39,2.51,No,,,,Neither Mentor nor Mentee,2.78 ,105,No
"Saar-Beckles, Melinda",1410070998,1968/6/6,Female,07/04/2016,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,119,No
"Sadki, Nore  ",1308060535,1974/12/21,Male,01/05/2009,2010/7/30,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Bachelor,2,2.49,2.61,No,,,,Mentee,2.88 ,130,No
"Sander, Kamrin",1302053362,1988/7/10,Female,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Bachelor,2,2.33,2.45,No,,,,Mentee,3.42 ,148,No
"Sewkumar, Nori",807010161,1975/3/10,Female,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,3.46 ,130,No
"Shields, Seffi",1205033102,1985/8/24,Female,08/19/2013,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Associate,2,2.36,2.48,No,,,,Mentee,3.47 ,94,No
"Smith, Sade",1501071909,1965/2/2,Female,11/11/2013,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Mentee,3.46 ,96,No
"Sparks, Taylor  ",1410071137,1968/7/20,Female,02/20/2012,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,PIP,Associate,2,1.47,1.32,No,,,,Neither Mentor nor Mentee,2.84 ,94,No
"Squatrito, Kristen",1405067138,1973/3/26,Female,05/13/2013,2015/6/29,unhappy,Voluntarily Terminated,Production       ,Production Technician I,David Stanley,Employee Referral,Exceeds,Bachelor,2,2.93,3.72,No,,,,Both Mentor and Mentee,3.18 ,156,No
"Stanford,Barbara  M",1111030244,1982/8/25,Female,01/10/2011,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.42,2.54,No,,,,Mentee,3.59 ,97,No
"Stoica, Rick",1106026896,1985/3/14,Male,02/17/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.36,2.47,No,,,,Mentee,3.45 ,115,No
"Sullivan, Timothy",1201031310,1982/10/7,Male,01/05/2015,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Employee Referral,N/A- too early to review,Associate,2,,,,,,,Mentee,,124,No
"Sutwell, Barbara",1407069061,1968/8/15,Female,05/14/2012,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.47,2.59,No,,,,Mentee,3.53 ,142,No
"Tavares, Desiree  ",1405067501,1975/4/3,Female,04/27/2009,2013/4/1,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Associate,2,2.48,2.60,No,,,,Mentee,2.87 ,90,No
"Theamstern, Sophia",1404066739,1965/5/9,Female,07/05/2011,2011/9/5,return to school,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,116,No
"Tinto, Theresa  ",1103024504,1983/7/30,Female,01/10/2011,2011/5/14,career change,Voluntarily Terminated,Production       ,Production Technician I,Ketsia Liebig,Social Media,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,94,No
"Tippett, Jeanette",1409070255,1967/6/5,Female,02/18/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Mentee,3.49 ,103,No
"Trang, Mei",1012023152,1983/5/16,Female,02/17/2014,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Job Fair,Needs Improvement,Bachelor,2,1.86,1.85,No,,,,Mentee,2.95 ,99,No
"Veera, Abdellah ",1203032235,1987/1/31,Male,08/13/2012,2016/2/5,attendance,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Employee Referral,Exceeds,Bachelor,2,2.87,3.65,No,,,,Both Mentor and Mentee,3.22 ,92,No
"Volk, Colleen",1011022814,1986/6/3,Female,09/26/2011,2016/2/8,gross misconduct,Terminated for Cause,Production       ,Production Technician I,Kelley Spirea,Employee Referral,Exceeds,Bachelor,2,2.89,3.67,No,,,,Both Mentor and Mentee,3.26 ,128,No
"Von Massenbach, Anna",1106026474,1985/4/6,Female,07/05/2015,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,100,No
"Wallace, Theresa",1101023619,1980/8/2,Female,08/13/2012,2015/9/1,career change,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Website,Needs Improvement,Associate,2,1.90,1.88,No,,,,Neither Mentor nor Mentee,2.22 ,120,No
"Whittier, Scott",1307060212,1987/5/24,Male,01/10/2011,2011/5/15,hours,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,109,No
"Wilber, Barry",1101023839,1965/9/9,Male,05/16/2011,2015/9/7,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Bachelor,2,2.50,2.62,No,,,,Neither Mentor nor Mentee,2.47 ,119,No
"Williams, Jacquelyn  ",1308060671,1969/10/2,Female,01/09/2012,2015/6/27,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.46,2.59,No,,,,Mentee,2.74 ,96,No
"Ybarra, Catherine ",1001268402,1982/5/4,Female,09/02/2008,2015/9/29,career change,Voluntarily Terminated,Production       ,Production Technician I,Brannon Miller,Website,PIP,Associate,2,1.45,1.31,No,,,,Neither Mentor nor Mentee,1.90 ,113,No
"Zima, Colleen",1211051232,1978/8/17,Female,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.38,2.50,No,,,,Mentee,3.42 ,139,No
"Akinkuolie, Sarah",1005019209,1988/9/19,Female,07/05/2011,2012/9/24,hours,Voluntarily Terminated,Production       ,Production Technician II,Kissy Sullivan,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,109,No
"Beak, Kimberly  ",1303054329,1966/4/17,Female,07/21/2016,,N/A - still employed,Active,Production       ,Production Technician II,Kelley Spirea,Employee Referral,Exceeds,Bachelor,2,2.91,3.84,Yes,,,,Mentee,3.84 ,118,No
"Blount, Dianna",1403066125,1990/9/21,Female,04/04/2011,,N/A - still employed,Active,Production       ,Production Technician II,Michael Albert,Website,Needs Improvement,Associate,2,1.87,1.85,No,,,,Mentee,3.08 ,122,No
"Bondwell, Betsy",1008021030,1967/1/16,Female,01/10/2011,2014/4/4,career change,Voluntarily Terminated,Production       ,Production Technician II,Elijiah Gray,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,107,No
"Buccheri, Joseph  ",1101023457,1983/7/28,Male,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician II,Webster Butler,Website,Fully Meets,Bachelor,2,2.35,2.47,No,,,,Mentee,3.42 ,102,No
"Burke, Joelle",1011022820,1980/3/2,Female,03/05/2012,,N/A - still employed,Active,Production       ,Production Technician II,Amy Dunn,Social Media,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,3.54 ,107,No
"Burkett, Benjamin ",1301052449,1977/8/19,Male,04/04/2011,,N/A - still employed,Active,Production       ,Production Technician II,Ketsia Liebig,Social Media,Fully Meets,Bachelor,2,2.44,2.56,No,,,,Mentee,3.58 ,115,No
"Cloninger, Jennifer",1012023226,1981/8/31,Female,05/16/2011,2013/1/7,unhappy,Voluntarily Terminated,Production       ,Production Technician II,Brannon Miller,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,99,No
"Close, Phil",1209048697,1978/11/25,Male,08/30/2010,2011/9/26,career change,Voluntarily Terminated,Production       ,Production Technician II,David Stanley,Social Media,Fully Meets,Bachelor,2,2.44,2.56,No,,,,Mentee,2.81 ,117,No
"Davis, Daniel",1201031274,1979/9/14,Male,11/07/2011,,N/A - still employed,Active,Production       ,Production Technician II,Kissy Sullivan,Employee Referral,Fully Meets,Bachelor,2,2.42,2.54,No,,,,Mentee,3.55 ,130,No
"Demita, Carla",1104025179,1951/2/25,Female,04/04/2011,2015/11/4,more money,Voluntarily Terminated,Production       ,Production Technician II,Kelley Spirea,Social Media,Fully Meets,Bachelor,2,2.57,2.70,No,,,,Mentee,2.78 ,110,No
"Erilus, Angela",1105025661,1989/8/25,Female,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician II,Michael Albert,Website,PIP,Associate,2,1.33,1.19,No,,,,Neither Mentor nor Mentee,2.73 ,98,No
"Faller, Megan ",1108028428,1978/9/22,Female,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician II,Elijiah Gray,Social Media,Fully Meets,Bachelor,2,2.38,2.50,No,,,,Mentee,3.43 ,92,No
"Fancett, Nicole",1402065085,1987/9/27,Female,02/17/2014,,N/A - still employed,Active,Production       ,Production Technician II,Webster Butler,Website,Fully Meets,Bachelor,2,2.34,2.46,No,,,,Mentee,3.45 ,147,No
"Fitzpatrick, Michael  J",1109029103,1981/10/1,Male,05/16/2011,2013/6/24,hours,Voluntarily Terminated,Production       ,Production Technician II,Amy Dunn,Social Media,Fully Meets,Bachelor,2,2.42,2.54,No,,,,Mentee,2.77 ,89,No
"Foreman, Tanya",1012023204,1983/11/8,Female,04/04/2011,2012/1/9,career change,Voluntarily Terminated,Production       ,Production Technician II,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Neither Mentor nor Mentee,2.78 ,127,No
"Gonzalez, Juan",1411071324,1964/10/12,Male,04/26/2010,2011/5/30,performance,Terminated for Cause,Production       ,Production Technician II,Brannon Miller,Website,PIP,Associate,2,1.52,1.36,No,,,,Neither Mentor nor Mentee,1.82 ,99,No
"Good, Susan",1001549006,1986/5/25,Female,05/12/2014,,N/A - still employed,Active,Production       ,Production Technician II,David Stanley,Website,Fully Meets,Bachelor,2,2.35,2.46,No,,,,Mentee,3.44 ,103,No
"Gosciminski, Phylicia  ",1108028351,1983/12/8,Female,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician II,Kissy Sullivan,Social Media,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.46 ,98,No
"Hankard, Earnest",1307059937,1988/8/10,Male,11/11/2013,,N/A - still employed,Active,Production       ,Production Technician II,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.34,2.46,No,,,,Mentee,3.46 ,99,No
"Hendrickson, Trina",1011022932,1972/8/27,Female,01/10/2011,2013/2/18,hours,Voluntarily Terminated,Production       ,Production Technician II,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.47,2.59,No,,,,Mentee,2.79 ,141,No
"Homberger, Adrienne  J",1207046956,1984/2/16,Female,08/15/2011,2012/4/7,relocation out of area,Voluntarily Terminated,Production       ,Production Technician II,Michael Albert,Social Media,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Mentee,2.76 ,149,No
"Hunts, Julissa",1106026433,1984/3/11,Female,06/06/2016,,N/A - still employed,Active,Production       ,Production Technician II,Elijiah Gray,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,125,No
"Hutter, Rosalie",1103024924,1992/5/7,Female,06/05/2015,,N/A - still employed,Active,Production       ,Production Technician II,Webster Butler,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,98,No
"Huynh, Ming",1306058509,1976/9/22,Female,02/21/2011,2013/4/1,unhappy,Voluntarily Terminated,Production       ,Production Technician II,Amy Dunn,Website,Fully Meets,Bachelor,2,2.44,2.57,No,,,,Neither Mentor nor Mentee,2.48 ,135,No
"Jeannite, Tayana",1008020942,1986/11/6,Female,07/05/2011,,N/A - still employed,Active,Production       ,Production Technician II,Ketsia Liebig,Employee Referral,Exceeds,Bachelor,2,2.89,4.42,Yes,,,,Both Mentor and Mentee,4.07 ,143,No
"Johnston, Yen",1306057810,1969/9/8,Female,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician II,Brannon Miller,Employee Referral,Exceptional,Master,2,3.43,5.00,Yes,,,,Both Mentor and Mentee,4.43 ,176,No
"Langford, Lindsey",1010022030,1979/7/25,Female,01/07/2013,2014/3/31,career change,Voluntarily Terminated,Production       ,Production Technician II,David Stanley,Website,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Neither Mentor nor Mentee,2.70 ,124,No
"Latif, Mohammed",1104025486,1984/5/9,Male,04/02/2012,2013/4/15,more money,Voluntarily Terminated,Production       ,Production Technician II,Kissy Sullivan,Social Media,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,2.73 ,114,No
"Linden, Mathew",1405067565,1979/3/19,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician II,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,3.47 ,105,No
"Lundy, Susan",1305056276,1976/12/26,Female,07/08/2013,2013/9/15,more money,Voluntarily Terminated,Production       ,Production Technician II,Michael Albert,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,108,No
